Zeit; Event; Ursache; Info
2018-10-16 16:38:01;Aus Standbymodus aufgeweckt;;
2018-10-16 16:45:12;In Standbymodus versetzt;Application API;
2018-10-16 18:18:23;Aus Standbymodus aufgeweckt;;
2018-10-16 18:20:35;In Standbymodus versetzt;Application API;
2018-10-16 21:27:46;Aus Standbymodus aufgeweckt;;
2018-10-16 21:31:20;In Standbymodus versetzt;Application API;
2018-10-17 06:31:50;Aus Standbymodus aufgeweckt;;
2018-10-17 07:09:14;In Standbymodus versetzt;Application API;
2018-10-17 09:09:36;Aus Standbymodus aufgeweckt;;
2018-10-17 09:12:01;In Standbymodus versetzt;System idle;
2018-10-17 10:28:51;Aus Standbymodus aufgeweckt;;
2018-10-17 11:15:27;In Standbymodus versetzt;Application API;
2018-10-17 12:17:41;Aus Standbymodus aufgeweckt;;
2018-10-17 12:35:57;In Standbymodus versetzt;Application API;
2018-10-17 12:55:26;Aus Standbymodus aufgeweckt;;
2018-10-17 13:01:11;In Standbymodus versetzt;Application API;
2018-10-17 13:23:16;Aus Standbymodus aufgeweckt;;
2018-10-17 13:27:27;In Standbymodus versetzt;Application API;
2018-10-17 15:55:18;Aus Standbymodus aufgeweckt;;
2018-10-17 15:58:48;In Standbymodus versetzt;Application API;
2018-10-17 16:03:13;Aus Standbymodus aufgeweckt;;
2018-10-17 16:33:58;In Standbymodus versetzt;Application API;
2018-10-17 16:41:21;Aus Standbymodus aufgeweckt;;
2018-10-17 17:31:21;In Standbymodus versetzt;Application API;
2018-10-17 17:34:51;Aus Standbymodus aufgeweckt;;
2018-10-17 17:35:39;In Standbymodus versetzt;Application API;
2018-10-17 17:36:28;Aus Standbymodus aufgeweckt;;
2018-10-17 17:38:49;In Standbymodus versetzt;System idle;
2018-10-17 19:21:39;Aus Standbymodus aufgeweckt;;
2018-10-17 19:23:00;In Standbymodus versetzt;Application API;
2018-10-17 21:45:11;Aus Standbymodus aufgeweckt;;
2018-10-17 21:49:26;In Standbymodus versetzt;Application API;
2018-10-18 06:34:37;Aus Standbymodus aufgeweckt;;
2018-10-18 07:05:37;In Standbymodus versetzt;Application API;
2018-10-18 09:08:33;Aus Standbymodus aufgeweckt;;
2018-10-18 09:22:52;In Standbymodus versetzt;Application API;
2018-10-18 09:29:58;Aus Standbymodus aufgeweckt;;
2018-10-18 09:52:33;In Standbymodus versetzt;Application API;
2018-10-18 10:16:05;Aus Standbymodus aufgeweckt;;
2018-10-18 10:18:27;In Standbymodus versetzt;Application API;
2018-10-18 10:28:52;Aus Standbymodus aufgeweckt;;
2018-10-18 10:29:38;In Standbymodus versetzt;Application API;
2018-10-18 11:21:08;Aus Standbymodus aufgeweckt;;
2018-10-18 11:23:56;In Standbymodus versetzt;Application API;
2018-10-18 11:43:37;Aus Standbymodus aufgeweckt;;
2018-10-18 11:45:14;In Standbymodus versetzt;Application API;
2018-10-18 12:17:51;Aus Standbymodus aufgeweckt;;
2018-10-18 12:21:56;In Standbymodus versetzt;Application API;
2018-10-18 15:13:29;Aus Standbymodus aufgeweckt;;
2018-10-18 16:12:06;In Standbymodus versetzt;System idle;
2018-10-18 16:25:37;Aus Standbymodus aufgeweckt;;
2018-10-18 16:27:34;In Standbymodus versetzt;Application API;
2018-10-18 16:33:37;Aus Standbymodus aufgeweckt;;
2018-10-18 16:51:26;In Standbymodus versetzt;Application API;
2018-10-18 17:36:09;Aus Standbymodus aufgeweckt;;
2018-10-18 17:43:59;In Standbymodus versetzt;Application API;
2018-10-18 18:21:23;Aus Standbymodus aufgeweckt;;
2018-10-18 19:03:27;In Standbymodus versetzt;Application API;
2018-10-18 19:04:21;Aus Standbymodus aufgeweckt;;
2018-10-18 19:06:21;In Standbymodus versetzt;Application API;
2018-10-18 21:16:28;Aus Standbymodus aufgeweckt;;
2018-10-18 21:17:31;In Standbymodus versetzt;Application API;
2018-10-19 06:22:10;Aus Standbymodus aufgeweckt;;
2018-10-19 07:08:02;In Standbymodus versetzt;Application API;
2018-10-19 09:08:53;Aus Standbymodus aufgeweckt;;
2018-10-19 09:11:30;In Standbymodus versetzt;Application API;
2018-10-19 09:26:03;Aus Standbymodus aufgeweckt;;
2018-10-19 09:37:05;In Standbymodus versetzt;System idle;
2018-10-19 10:05:50;Aus Standbymodus aufgeweckt;;
2018-10-19 10:06:38;In Standbymodus versetzt;Application API;
2018-10-19 10:15:16;Aus Standbymodus aufgeweckt;;
2018-10-19 10:23:19;In Standbymodus versetzt;Application API;
2018-10-19 10:36:37;Aus Standbymodus aufgeweckt;;
2018-10-19 11:00:17;Heruntergefahren;;
2018-10-19 11:00:33;Start;;
2018-10-19 11:52:41;Heruntergefahren;;
2018-10-19 11:52:57;Start;;
2018-10-19 11:53:13;Heruntergefahren;;
2018-10-19 11:53:25;Start;;
2018-10-19 11:54:46;Heruntergefahren;;
2018-10-19 11:54:59;Start;;
2018-10-19 11:56:08;Heruntergefahren;;
2018-10-19 11:56:32;Start;;
2018-10-19 11:57:19;Heruntergefahren;;
2018-10-19 11:57:31;Start;;
2018-10-19 12:09:58;In Standbymodus versetzt;Application API;
2018-10-19 12:19:33;Aus Standbymodus aufgeweckt;;
2018-10-19 12:20:23;In Standbymodus versetzt;Application API;
2018-10-19 12:29:46;Aus Standbymodus aufgeweckt;;
2018-10-19 12:32:08;In Standbymodus versetzt;Application API;
2018-10-19 12:34:59;Aus Standbymodus aufgeweckt;;
2018-10-19 12:36:52;In Standbymodus versetzt;Application API;
2018-10-19 13:07:58;Aus Standbymodus aufgeweckt;;
2018-10-19 13:11:57;In Standbymodus versetzt;Application API;
2018-10-19 14:13:36;Aus Standbymodus aufgeweckt;;
2018-10-19 14:53:19;In Standbymodus versetzt;Application API;
